Source,Original ID,Acceptability,Original annotation,Sentence,Material added
SoD-Noun1,2.308b,0,(?),Het tot voorzitter van de vereniging benoemen van Jan is verstandig.,0
SoD-Noun1,2.326c,0,?,Het erop jagen moest verboden worden.,0
SoD-Noun1,2.326d,0,?,Het ervan genieten werd ons onmogelijk gemaakt.,0
SoD-Noun1,2.327c,0,?,Jagen erop moest verboden worden.,0
SoD-Noun1,2.327d,0,?,Genieten ervan werd ons onmogelijk gemaakt.,0
SoD-Noun1,2.332a',0,?,Dat is het soort fruit waarvan het eten altijd gestimuleerd zou moeten worden.,1
SoD-Noun1,2.332b',0,?,Van welk soort fruit zou het eten gestimuleerd moeten worden?,0
SoD-Noun1,2.333a,0,?,Ik heb het eten aangeraden van vers fruit.,0
SoD-Noun1,2.340b,0,?,Vernietigingen zijn soms moeilijk te voorkomen.,0
SoD-Noun1,2.346b',0,?,De behandeling door de arts van de patiënt van kamer 114,0
SoD-Noun1,2.347b',0,(?),Peters behandeling door een arts kostte veel tijd.,0
SoD-Noun1,2.347b',0,(?),Hun behandeling door een arts kostte veel tijd.,0
SoD-Noun1,2.353a'',0,?,Overdrachten door onervaren bewakers van gevaarlijke gevangenen dienen te worden vermeden.,0
SoD-Noun1,2.353b'',0,?,Uitreikingen door voorzitters van grote prijzen duren altijd lang.,0
SoD-Noun1,2.354c,0,?,Hun overdracht door de bewakers verliep snel.,0
SoD-Noun1,2.357b,0,(?),Jan regelde de overdracht van de gevangenen door de bewakers aan de politie.,1
SoD-Noun1,2.357c,0,?,Jan regelde de overdracht aan de politie van de gevangenen door de bewakers.,1
SoD-Noun1,2.358a',0,(?),Piet was bij hun overdracht door de bewakers aan de politie.,1
SoD-Noun1,2.358a',0,(?),Piet was bij Peters overdracht door de bewakers aan de politie.,1
SoD-Noun1,2.373a,0,?,Op herten is de jacht gelukkig verboden.,0
SoD-Noun1,2.373a,0,?,Op de herten is de jacht gelukkig verboden.,0
SoD-Noun1,2.373a,0,?,Op deze herten is de jacht gelukkig verboden.,0
SoD-Noun1,2.376a,0,(?),Dit is de patiënt waarvan de zuster de behandeling goed bijhoudt.,0
SoD-Noun1,2.376b,0,?,Dit zijn de prijzen waarvan de uitreiking nu plaats vindt.,0
SoD-Noun1,2.376b',0,?,Van welke prijzen vindt de uitreiking  nu plaats?,0
SoD-Noun1,2.378a,0,?,Dat is het wild waarop we de jacht  willen verbieden.,1
SoD-Noun1,2.378b,0,?,Op welk wild willen we de jacht verbieden?,0
SoD-Noun1,2.379a,0,(?),Ik heb de aankomst bijgewoond van Sinterklaas.,0
SoD-Noun1,2.379b,0,?,Ik heb de behandeling gevolgd van deze patiënt.,0
SoD-Noun1,2.388b,0,?,Een luid geroep van “boe” klonk door de zaal.,0
SoD-Noun1,2.392b,0,?,Zij repeteren het toneelstuk elke dag.,0
SoD-Noun1,2.400a,0,?,Het gedoneer van grote bedragen door multinationals is onderzocht.,0
SoD-Noun1,2.406a,0,?,Het gekroon van mensen tot keizer is uit de tijd.,0
SoD-Noun1,2.413b,0,?,Het gedoneer ervan aan goede doelen moet gestimuleerd worden.,0
SoD-Noun1,2.416a,0,?,Van die patiënten heb ik het gewandel nauwlettend gadeslagen.,0
SoD-Noun1,2.420a,0,?,Piet lette op de patiënten van wie het gewandel nauwlettend werd gadegeslagen.,1
SoD-Noun1,2.420a',0,?,Van welke patiënten werd het gewandel nauwlettend gadegeslagen?,0
SoD-Noun1,2.422c,0,?,Men zou het gedoneer moeten stimuleren van dat soort bedragen.,0
SoD-Noun1,2.429c,0,?,Jans boosheid op Marie over die opmerking was buitensporig.,0
SoD-Noun1,2.457a,0,?,Dat is de jongen waarvan de verlegenheid zo opvalt.,1
SoD-Noun1,2.457a',0,?,Van welke jongen valt de verlegenheid het meest op?,0
SoD-Noun1,2.460a,0,?,Ik heb van die jongen de beleefdheid altijd zeer gewaardeerd.,0
SoD-Noun1,2.460a',0,?,Ik heb van die jongen zijn beleefdheid altijd zeer gewaardeerd.,0
SoD-Noun1,2.463d,0,?,Hij zag het geschilder van zijn zoon Titus door Rembrandt.,1
SoD-Noun1,2.488a,0,?,Jan heeft naar een voordracht geluisterd.,0
SoD-Noun1,2.508b,0,?,Dat is het schilderij van de Westertoren van Rembrandt van mijn broer.,1
SoD-Noun1,2.515b',0,?,Piet leest die boeken over taalkunde van Jan.,1
SoD-Noun1,2.516b',0,?,Piet leest die boeken van Chomsky van Jan.,1
SoD-Noun1,2.551a,0,?,Mijn eerste boek heb ik van Huizinga gelezen.,0
SoD-Noun1,2.566b,0,?,Dit schilderij is van de Westertoren.,0
SoD-Noun1,2.581b',0,?,Van de Amstel heb ik gisteren het onlangs beschadigde schilderij gezien.,0
SoD-Noun1,2.581b',0,?,Over Nixon heb ik de nieuwste film gezien.,0
SoD-Noun1,2.581b',0,?,Over Nixon heb ik de nieuwste film nog niet gezien.,0
SoD-Noun1,2.585a,0,(?),Van Rembrandti heb ik zijn laatste schilderij gezien.,0
SoD-Noun1,2.586a,0,(?),Van Oliver Stone heb ik zijn laatste film nog niet gezien.,0
SoD-Noun1,2.589b,0,?,Van de Amstel zijn nu al verschillende schilderijen beschadigd.,0
SoD-Noun1,2.596a',0,?,Dat is de jongen van wie ik een portret van Rembrandt heb gezien.,1
SoD-Noun1,2.598b,0,?,Ik heb een boek uit 1932 vertaald.,0
SoD-Noun1,2.598b,0,?,Ik heb een boek vertaald uit 1932.,0
SoD-Noun1,2.600a,0,?,Ik heb een boek vertaald van Jan.,0
SoD-Noun1,2.601a,0,?,Ik heb een schilderij van Rembrandt/van de Amstel gezien met een vergulde lijst.,0
SoD-Noun1,2.605b,0,(?),Ik heb een boek van Huizinga vertaald over Middeleeuwen.,0
SoD-Noun1,2.606a,0,?,Ik heb een schilderij gezien van Rembrandt van de Westertoren.,0
SoD-Noun1,2.607a,0,?,Ik heb een boek vertaald van Huizinga over de M.E..,0
SoD-Noun1,3.58a,0,?,Ik ben dat cadeautje voor mijn moeder nou toch nog vergeten.,0
SoD-Noun1,3.61b,0,?,Onze bloemen in de tuin doen het goed die in de kamer minder.,0
SoD-Noun1,3.61c,0,?,Mijn buurman met de BMW gaat morgen op vakantie.,0
SoD-Noun1,3.71a,0,?,"Een koekoeksklok, uit Zwitserland, loopt bijna altijd gelijk.",0
SoD-Noun1,3.109b,0,?,"Al wie aanwezig waren, werden ondervraagd.",0
SoD-Noun1,3.114b,0,?,Ik zal aan wie daar om gevraagd heeft een exemplaar toesturen.,0
SoD-Noun1,3.139a,0,?,Niets dat hij voorspelde kwam ooit uit.,0
SoD-Noun1,3.141c,0,?,Natuurlijk is wat hij doet goed.,0
SoD-Noun1,3.142b,0,?,Marie vertelde me dat wat hij doet lovenswaardig is.,0
SoD-Noun1,3.143c,0,?,Zij zal wat je daar zegt niet waarderen.,0
SoD-Noun1,3.145b,0,?,Ik denk dat zij wat je daar zegt niet zal waarderen.,0
SoD-Noun1,3.154c,0,(?),Er werden ons wat later waardeloze aandelen bleken te zijn verkocht.,0
SoD-Noun1,3.155a,0,(?),Jan zei dat hij wat later waardeloze aandelen bleken te zijn verkocht.,1
SoD-Noun1,3.167c,0,?,"Jan is al in Griekenland, wat ik ook wel zou willen zijn.",0
SoD-Noun1,3.224a,0,(?),De tijd toen men nog per koets reisde ligt ver achter ons.,0
SoD-Noun1,3.224b,0,?,De lente toen ik geboren werd was het ontzettend koud.,0
SoD-Noun1,3.225a,0,?,"Het jaar wanneer ik tachtig word, vergaat de wereld.",0
SoD-Noun1,3.234b,0,?,De maaltijd dat hij me ten huwelijk vroeg zal ik nooit vergeten.,0
SoD-Noun1,3.256a',0,?,"Een koekoeksklok, die uit Zwitserland afkomstig is, loopt altijd goed.",0
SoD-Noun1,3.276c,0,?,Zijn boek dat Gerard Reve gesigneerd heeft is veel ouder dan het mijne.,0
SoD-Noun1,3.296b,0,(?),Ik zei dat ik bewondering voor de man heb die dit mogelijk heeft gemaakt.,1
SoD-Noun1,3.296c,0,(?),Jan weet dat ik vreselijk boos op de man ben die naast mij woont.,1
SoD-Noun1,3.298a,0,(?),Dat heb ik met de man afgesproken die naast mij woont.,0
SoD-Noun1,3.298b,0,?,Moeder wil niet dat Jan in het huis speelt dat gesloopt wordt.,0
SoD-Noun1,3.298b',0,?,Moeder wil niet dat Jan speelt in het huis dat gesloopt wordt.,0
SoD-Noun1,3.298c,0,?,Ik wil dat voor de vergadering bespreken die straks plaats vindt.,0
SoD-Noun1,3.301b,0,?,Ik heb daarnet voor het eerst de man die een maand geleden naast mij is komen wonen ontmoet.,0
SoD-Noun1,3.303b,0,?,Ik heb gisteren een man die prachtig piano speelt ontmoet.,0
SoD-Noun1,3.316a,0,?,Hoeveel mensen die in vaste dienst zijn werken er?,0
SoD-Noun1,3.319a',0,(?),Hem heb ik niet eerder gezien die daar binnenkomt.,0
SoD-Noun1,3.319b',0,?,Hem willen we niet ontslaan die hier al tien jaar werkt.,0
SoD-Noun1,3.319c',0,?,Haar hebben ze een Oscar toegekend die de hoofdrol speelde.,0
SoD-Noun1,3.327c,0,?,"Hij heeft voor ons, die zo hard gewerkt hebben, niets teruggedaan.",0
SoD-Noun1,3.328a,0,?,"Ik vind dat ik, die ze ontslagen hebben, recht heb op een verklaring.",0
SoD-Noun1,3.337a,0,?,"Jan is een dwaas, die immers altijd doen wat ze gezegd wordt.",0
SoD-Noun1,3.337b,0,?,"Marie is een genie, die per definitie miskend worden.",0
SoD-Noun1,3.345b',0,?,"Jan zei dat er nu een pianist naast me woont, die prachtig speelt.",1
SoD-Noun1,3.345c',0,?,"Jan zei dat waarschijnlijk de pianist wordt gekozen, die prachtig speelt.",1
SoD-Noun1,3.347b,0,?,"Ik heb die leuke detective aan Jan gegeven, die ziek is.",0
SoD-Noun1,3.348b,0,?,"Ik heb naar Jan geluisterd, die mooi piano speelt.",0
SoD-Noun1,3.349c,0,?,"Ik heb het Jan gegeven, die ziek is.",0
SoD-Noun1,3.349d,0,?,"Die leuke detective heb Jan gegeven, die ziek is.",0
SoD-Noun1,3.359a,0,?,"Hij, die daar met Marie praat, heb ik nooit eerder gezien.",0
SoD-Noun1,3.365c,0,?,"Jan, die net vertrokken is, van wie ik geen adres heb , is onvindbaar.",0
SoD-Noun1,3.365d,0,?,"In het noorden, dat onbewoond is, waar weinig toeristen komen, is de natuur nog ongerept.",0
SoD-Noun1,3.380a,0,?,Jan speelt de preludes en de etudes die hij onlangs gecomponeerd heeft.,0
SoD-Noun1,3.380b,0,?,"De jongens en de meisjes die te laat komen, krijgen straf.",0
SoD-Noun1,3.383a,0,?,Jan zal de preludes en de etudes spelen die hij onlangs gecomponeerd heeft.,0
SoD-Noun1,3.402b',0,?,"De mannen en jongens die te laat komen, worden niet toegelaten.",0
SoD-Noun1,3.424a,0,?,"Ik ken een regisseur en acteur, die bovendien scenario’s schrijft.",0
SoD-Noun1,3.429a,0,?,"Ik heb een regisseur en acteur ontmoet, die een Oscar heeft gekregen.",0
SoD-Noun1,3.346a,0,?,"Ik zoek een vriendje en kameraad, die dezelfde hobby heeft als ik.",0
SoD-Noun1,3.447b,0,?,"Elke leerling en elke leraar die te laat kwam, werd gestraft.",0
SoD-Noun1,3.450c,0,?,"Enkele vrouwen, die te laat kwamen, werden niet toegelaten.",0
SoD-Noun1,3.459a,0,?,"De jongens of de meisjes die te laat komen, worden gestraft.",0
SoD-Noun1,3.459b,0,?,"We mogen de katten of de honden die niet veel overlast geven, houden.",0
SoD-Noun1,3.465a',0,?,"Studenten of scholieren, die weinig geld hebben, krijgen korting.",0
SoD-Noun1,3.465b',0,?,"We mogen honden of katten, die niet veel overlast geven houden.",0
SoD-Noun1,3.481a,0,?,"De studenten of de scholieren, die weinig geld hebben, krijgen korting.",0
SoD-Noun1,3.503a,0,?,"De mannen of de jongen die we niet kenden, liet hij niet binnen.",0
SoD-Noun1,3.503b,0,?,"Twee mannen of een jongen die we niet kenden, liet hij niet binnen.",0
SoD-Noun1,3.504a',0,?,"Twee mannen of een jongen, die te laat kwamen/kwam, liet hij niet binnen.",0
SoD-Noun1,3.504b',0,?,"Twee mannen of een jongen, die we niet kenden, liet hij niet binnen.",0
SoD-Noun1,3.504c,0,?,"Twee mannen of de jongen, die we niet kenden, liet hij niet binnen.",0
SoD-Noun1,3.511b,0,?,"Zo’n machine, om hout mee te schuren, is vrij goedkoop.",0
SoD-Noun1,3.527a,0,?,"Deze kasten, om zelf in elkaar te zetten, zijn niet duur.",0
SoD-Noun1,3.527b,0,?,"Dit cadeau, om aan Marie te geven, heb ik in Londen gekocht.",0
SoD-Noun1,3.527c,0,?,"Zo’n machine, om hout mee te schuren, is goedkoop.",0
SoD-Noun1,3.539a,0,(?),We hebben de nieuwe software aangeschaft om het probleem op te lossen.,0
SoD-Noun1,3.547a,0,?,Rekeningen door ons te betalen moeten eerst gecontroleerd worden.,0
SoD-Noun1,3.547b,0,?,De rekeningen te betalen voor de 15e heb ik apart gelegd.,0
SoD-Noun1,3.550a,0,?,Een olifant hongerig en kwaad kan veel schade aanrichten.,0
SoD-Noun1,3.556d',0,?,Reizigers op de trein naar Breda wachtend krijgen vertraging.,0
